Customer Number,Service Level, Campaign Period Sales , Date of Last Transaction ,Date of First Purchase,Number of Transactions,Do Not Direct Mail Solicit,Do Not Email,Do Not Telemarket,Repurchase Method,Last Transaction Channel,Email Available,Desk,Executive Chair,Standard Chair,Monitor,Printer,Computer,Insurance,Toner,Office Supplies,Number of Employees,Language
2074199,Standard, $ 107.16 ,9/11/2015,8/1/1965,20,FALSE,FALSE,FALSE,NOTICE,MAIL,FALSE,N,N,N,N,N,N,N,N,Y,1-5,English
30376164,Premier, $ 110.66 ,2/26/2015,1/15/1926,2,FALSE,FALSE,FALSE,NOTICE,BRANCH (POS),FALSE,N,N,N,N,N,N,N,N,N,1-5,
16464340,Premier," $ 4,697.62 ",1/9/2003,9/15/1963,12,FALSE,TRUE,FALSE,NOTICE,BRANCH (POS),TRUE,N,Y,N,N,N,N,N,Y,Y, ,
6471170,Premier, $ 103.08 ,6/23/2016,1/15/1986,9,FALSE,FALSE,FALSE,AUTO RENEW,AUTO RENEW,TRUE,N,N,N,N,N,N,N,Y,Y,1-5,English
56184607,Premier, $ (566.50),6/6/2017,10/31/2014,1,TRUE,TRUE,TRUE,NOTICE,WEB,TRUE,N,N,N,N,N,N,N,N,N, ,
14301160,Premier, $ 35.12 ,11/17/2017,4/1/1951,18,FALSE,FALSE,FALSE,NOTICE,MAIL,FALSE,Y,Y,N,N,Y,N,N,N,Y,1-5,English
1809494,Premier," $ 1,777.20 ",5/19/2015,7/15/1948,11,FALSE,FALSE,FALSE,NOTICE,MAIL,TRUE,N,Y,N,N,N,N,N,N,N, ,
27878500,Premier," $ 1,006.33 ",6/10/2016,12/15/1946,1,FALSE,TRUE,FALSE,NOTICE,MAIL,TRUE,N,N,N,N,N,N,N,N,N, ,
49396865,Premier," $ 2,572.96 ",1/1/2015,5/15/1953,6,FALSE,FALSE,FALSE,AUTO RENEW,AUTO RENEW,FALSE,N,Y,N,N,N,N,Y,N,N, ,
23849132,Premier, $ (421.83),10/2/2017,5/15/1966,3,TRUE,TRUE,TRUE,NOTICE,MAIL,FALSE,N,N,N,N,N,N,N,N,N, ,
6344666,Premier," $ 3,122.17 ",9/12/2011,2/1/1954,4,FALSE,TRUE,FALSE,NOTICE,MAIL,TRUE,N,N,N,Y,N,N,N,N,N, ,
108174677,Premier," $ 2,490.15 ",5/28/2014,12/1/1950,3,FALSE,FALSE,FALSE,AUTO RENEW,WEB,TRUE,N,N,N,N,N,N,N,N,N, ,
953572,Premier, $ 21.60 ,8/29/2018,11/1/1976,1,FALSE,FALSE,FALSE,NOTICE,,FALSE,N,Y,N,N,N,N,N,N,N, ,
1366431,Premier, $ 122.08 ,11/6/2015,11/1/1986,20,FALSE,FALSE,FALSE,NOTICE,BILLING,TRUE,N,Y,N,N,N,N,Y,Y,Y,1-5,English
3644555,Premier, $ 152.61 ,5/24/2016,8/15/1954,15,TRUE,TRUE,TRUE,AUTO RENEW,AUTO RENEW,TRUE,N,N,N,N,N,N,N,N,Y,6-10,English
20671860,Premier, $ 47.44 ,10/19/2016,9/1/1950,18,FALSE,FALSE,FALSE,NOTICE,BRANCH (POS),TRUE,N,N,N,N,N,N,Y,Y,Y,1-5,English
17275169,Standard, $ 78.32 ,11/13/2016,1/1/1946,15,FALSE,FALSE,FALSE,NOTICE,BRANCH (POS),FALSE,N,Y,N,N,N,N,N,N,Y,6-10,English
5968042,Premier," $ 1,278.42 ",3/16/2016,7/15/1949,3,FALSE,FALSE,FALSE,NOTICE,MAIL,FALSE,N,N,N,N,N,Y,N,N,N, ,
21838772,Standard, $ 427.89 ,4/21/2010,11/15/1951,16,FALSE,FALSE,FALSE,NOTICE,MAIL,TRUE,N,N,N,N,N,N,N,N,Y,6-10,English
24078364,Standard," $ 3,093.45 ",11/24/2012,8/15/1965,24,FALSE,TRUE,FALSE,AUTO RENEW,AUTO RENEW,TRUE,N,N,N,N,N,Y,N,N,Y,,English
3464081,Standard, $ 414.95 ,11/30/2011,9/1/1988,15,FALSE,FALSE,FALSE,NOTICE,MAIL,FALSE,N,Y,N,N,N,N,N,N,Y,6-10,English
25226342,Standard, $ 402.82 ,8/31/2009,1/1/1971,1,FALSE,FALSE,FALSE,NOTICE,MAIL,FALSE,N,N,N,N,N,N,Y,N,N,1-5,
13292024,Standard, $ 305.79 ,7/23/2011,4/15/1975,15,TRUE,TRUE,TRUE,NOTICE,BRANCH (POS),FALSE,N,Y,N,N,N,N,N,N,Y,6-10,English
22990866,Premier," $ 2,054.87 ",2/26/2015,7/22/2011,1,FALSE,TRUE,FALSE,AUTO RENEW,AUTO RENEW,TRUE,N,N,N,N,N,N,N,N,N, ,
18917964,Premier, $ 105.23 ,3/23/2017,3/1/1984,17,FALSE,FALSE,FALSE,NOTICE,MAIL,FALSE,N,N,N,N,N,N,N,N,Y,11-50,English
21115688,Standard, $ 234.44 ,2/5/2014,12/1/1972,16,FALSE,FALSE,FALSE,NOTICE,MAIL,TRUE,N,N,N,N,N,N,N,N,Y,6-10,English
24849051,Premier, $ 777.15 ,10/22/2007,8/15/1963,21,FALSE,FALSE,FALSE,NOTICE,MAIL,TRUE,N,N,N,N,N,N,Y,N,Y,11-50,English
12494443,Standard, $ 188.27 ,1/2/2015,10/14/1965,6,FALSE,FALSE,FALSE,NOTICE,MAIL,TRUE,N,N,N,N,N,N,Y,N,Y,6-10,English
13322611,Premier," $ 1,589.17 ",2/19/2015,10/15/1979,4,FALSE,FALSE,FALSE,NOTICE,MAIL,FALSE,N,N,N,N,N,N,N,N,N, ,
12970830,Premier, $ (119.33),6/7/2018,4/15/1972,5,TRUE,TRUE,TRUE,NOTICE,WEB,TRUE,N,N,N,N,N,N,N,N,N, ,
5244791,Premier, $ 105.49 ,8/18/2016,12/1/1972,15,FALSE,FALSE,FALSE,NOTICE,PHONE,TRUE,N,N,N,N,N,N,N,N,Y,6-10,English
29793724,Premier, $ 99.68 ,11/27/2015,8/1/1953,18,FALSE,FALSE,FALSE,NOTICE,MAIL,TRUE,N,N,N,N,N,N,N,N,Y,1-5,English
26557355,Premier, $ 329.39 ,6/19/2009,3/15/1954,15,FALSE,FALSE,FALSE,NOTICE,MAIL,TRUE,N,N,N,N,N,N,N,N,Y,1-5,English
4527000,Premier, $ 135.59 ,11/24/2014,2/1/1969,15,FALSE,FALSE,FALSE,NOTICE,MAIL,TRUE,N,N,N,N,N,N,N,N,Y,1-5,English
22653898,Premier, $ 214.90 ,6/26/2014,6/3/2009,11,FALSE,FALSE,FALSE,NOTICE,MAIL,TRUE,N,N,N,N,N,N,N,N,Y,6-10,English
52266324,Premier," $ 5,086.47 ",12/4/2009,5/1/1976,8,TRUE,TRUE,TRUE,AUTO RENEW,AUTO RENEW,FALSE,N,N,N,N,N,N,Y,N,N, ,
18907010,Standard, $ 182.76 ,2/11/2015,4/1/1966,17,FALSE,FALSE,FALSE,NOTICE,MAIL,FALSE,N,N,N,N,N,N,N,N,Y,6-10,English
19901210,Premier, $ 221.70 ,3/3/2017,3/31/2015,8,TRUE,TRUE,TRUE,AUTO RENEW,PHONE,TRUE,N,N,N,N,N,N,N,N,N,51-100,English
25772933,Standard, $ 159.28 ,7/29/2015,7/15/1955,15,TRUE,TRUE,TRUE,NOTICE,MAIL,FALSE,N,N,N,N,N,N,N,N,Y,6-10,
23543791,Premier, $ 210.92 ,10/14/2012,6/1/1955,11,FALSE,FALSE,FALSE,NOTICE,MAIL,TRUE,N,N,N,N,N,N,N,N,Y,1-5,English
3005366,Premier, $ 184.53 ,1/29/2015,3/1/1961,21,FALSE,FALSE,FALSE,NOTICE,PHONE,FALSE,N,N,N,N,N,N,N,N,Y,6-10,English
17094214,Premier, $ 290.80 ,3/10/2015,8/15/1975,17,FALSE,FALSE,FALSE,AUTO RENEW,AUTO RENEW,TRUE,N,N,N,N,N,N,Y,Y,N,6-10,
10977020,Standard, $ 209.60 ,10/6/2015,5/1/1958,1,FALSE,TRUE,FALSE,NOTICE,MAIL,FALSE,N,N,N,N,N,N,N,N,Y,11-50,English
33471413,Standard, $ 100.67 ,11/17/2015,8/1/1975,18,TRUE,TRUE,TRUE,NOTICE,MAIL,FALSE,N,N,N,N,N,N,N,N,Y,1-5,English
53132328,Premier," $ 1,161.17 ",2/5/2016,6/15/1954,3,FALSE,FALSE,FALSE,NOTICE,MAIL,TRUE,N,N,N,N,N,N,Y,N,N, ,
27634257,Premier, $ 467.62 ,8/28/2013,12/1/1972,22,FALSE,TRUE,FALSE,AUTO RENEW,AUTO RENEW,TRUE,N,N,N,N,N,N,N,N,Y,11-50,English
